ABC1D23,Onix LT,9BGKS48U0MG123456,35000.00,DISPONIVEL
XYZ4E56,HB20 Comfort,93HBCS89DLF987654,42500.00,DISPONIVEL
JKL2F78,Corolla XEi,8AJBA123XJ4567890,60000.00,DISPONIVEL
QWE3G90,Civic Touring,93HCV2A34LG654321,75300.00,DISPONIVEL
RTY5H12,Gol 1.6,9BWZZZ377VT123456,88900.00,DISPONIVEL
UIO6J34,Compass Sport,9C4BJ3T34KF345678,50200.00,DISPONIVEL
PAS7K56,Strada Freedom,8A1F45G9XP7890123,31400.00,DISPONIVEL
MNB8L78,Hilux SRX,9CJHF78TYR6789012,95000.00,DISPONIVEL
VCX9M90,Kicks SL,93NJKL56XD8765432,67800.00,DISPONIVEL
ZAS0N12,Polo Highline,9BWZZZ2GXP1234567,39500.00,DISPONIVEL
